type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
W,2024-03-02 05:46:35,11.11383167,123.79402833,1.40,61.200,,0.000,,50,66,,P11
W,2024-03-02 05:50:49,11.11485500,123.78623667,1.60,60.900,,0.000,,52,66,,P10
W,2024-03-02 06:00:00,11.11510500,123.77787667,2.10,61.800,,0.000,,49,66,,P9
W,2024-03-02 06:07:03,11.11602500,123.76833000,2.20,61.200,,0.000,,47,67,,P8
W,2024-03-02 06:21:15,11.11586833,123.74994167,1.50,62.900,,0.000,,47,70,,P6
W,2024-03-02 06:27:34,11.11609000,123.74070500,1.40,64.000,,0.000,,47,70,,P5
W,2024-03-02 06:33:16,11.11595500,123.73178000,1.50,63.600,,0.000,,47,72,,P4
W,2024-03-02 06:38:49,11.11530833,123.72271833,1.70,64.700,,0.000,,46,71,,P3
W,2024-03-02 06:47:20,11.11531833,123.71249833,2.00,63.100,,0.000,,53,71,,P2
W,2024-03-02 06:56:59,11.11722500,123.70808333,2.10,63.900,,0.000,,51,73,,P1
T,2024-03-02 04:15:31,11.16431833,123.71547000,1.60,61.400,,1.308,232,53,68,20240302-121531,GPS Logger: 20240302-121531 - Bantayan 2 Sampling
T,2024-03-02 04:15:32,11.16431000,123.71545833,1.60,61.200,,1.408,235,53,68,,
T,2024-03-02 04:15:33,11.16430500,123.71544667,1.60,60.900,,1.313,234,54,68,,
T,2024-03-02 04:15:34,11.16429833,123.71543667,1.50,61.000,,1.405,233,54,68,,
T,2024-03-02 04:15:35,11.16429167,123.71542833,1.50,61.200,,1.402,235,54,68,,
T,2024-03-02 04:15:36,11.16428333,123.71541833,1.50,61.400,,1.527,235,54,68,,
T,2024-03-02 04:15:37,11.16427667,123.71540667,1.50,61.600,,1.404,233,54,68,,
T,2024-03-02 04:15:38,11.16426833,123.71539500,1.50,61.600,,1.429,235,54,68,,
T,2024-03-02 04:15:39,11.16426167,123.71538500,1.50,61.400,,1.395,234,54,68,,
T,2024-03-02 04:15:40,11.16425500,123.71537500,1.50,61.400,,1.408,235,54,68,,
T,2024-03-02 04:15:41,11.16424833,123.71536667,1.50,61.500,,1.427,235,56,68,,
T,2024-03-02 04:15:42,11.16424000,123.71535667,1.50,61.400,,1.429,235,54,68,,
T,2024-03-02 04:15:43,11.16423000,123.71534333,1.50,61.400,,1.433,236,53,68,,
T,2024-03-02 04:15:44,11.16422167,123.71533167,1.50,61.300,,1.429,235,52,68,,
T,2024-03-02 04:15:45,11.16421333,123.71532000,1.50,61.500,,1.425,235,52,68,,
T,2024-03-02 04:15:46,11.16420333,123.71530833,1.60,60.900,,1.424,234,53,68,,
T,2024-03-02 04:15:47,11.16419333,123.71529833,1.50,60.500,,1.426,232,52,68,,
T,2024-03-02 04:15:48,11.16418333,123.71528833,1.60,60.200,,1.432,237,51,68,,
T,2024-03-02 04:15:49,11.16417667,123.71527667,1.50,60.300,,1.430,231,50,68,,
T,2024-03-02 04:15:50,11.16417000,123.71526833,1.50,60.300,,1.428,234,48,68,,
T,2024-03-02 04:15:51,11.16416333,123.71525833,1.50,60.600,,1.432,229,51,68,,
T,2024-03-02 04:15:52,11.16415500,123.71524833,1.50,60.700,,1.427,232,53,68,,
T,2024-03-02 04:15:53,11.16414667,123.71523833,1.50,60.800,,1.431,230,54,68,,
T,2024-03-02 04:15:54,11.16413833,123.71522833,1.50,60.700,,1.422,235,53,68,,
T,2024-03-02 04:15:55,11.16412833,123.71521833,1.50,60.500,,1.418,231,54,68,,
T,2024-03-02 04:15:56,11.16412000,123.71520500,1.50,60.300,,1.448,235,54,68,,
