"Plot Title: TSPS"
"#","Date Time, GMT+08:00","Temp, °C (LGR S/N: 20962522, SEN S/N: 20962522)","Coupler Detached (LGR S/N: 20962522)","Coupler Attached (LGR S/N: 20962522)","Host Connected (LGR S/N: 20962522)","Stopped (LGR S/N: 20962522)","End Of File (LGR S/N: 20962522)"
1,03/02/24 12:34:49 PM,31.077,,,,,
2,03/02/24 12:35:21 PM,,Logged,,,,
3,03/02/24 12:35:49 PM,31.179,,,,,
4,03/02/24 12:36:49 PM,31.433,,,,,
5,03/02/24 12:37:49 PM,31.663,,,,,
6,03/02/24 12:38:49 PM,31.484,,,,,
7,03/02/24 12:39:49 PM,31.510,,,,,
8,03/02/24 12:40:49 PM,31.255,,,,,
9,03/02/24 12:41:49 PM,30.950,,,,,
10,03/02/24 12:42:49 PM,31.331,,,,,
11,03/02/24 12:43:49 PM,32.330,,,,,
12,03/02/24 12:44:49 PM,30.748,,,,,
13,03/02/24 12:45:49 PM,29.540,,,,,
14,03/02/24 12:46:49 PM,29.265,,,,,
15,03/02/24 12:47:49 PM,29.065,,,,,
16,03/02/24 12:48:49 PM,28.965,,,,,
17,03/02/24 12:49:49 PM,28.965,,,,,
18,03/02/24 12:50:49 PM,29.439,,,,,
19,03/02/24 12:51:49 PM,29.715,,,,,
20,03/02/24 12:52:49 PM,30.293,,,,,
21,03/02/24 12:53:49 PM,30.925,,,,,
22,03/02/24 12:54:49 PM,31.637,,,,,
23,03/02/24 12:55:49 PM,32.433,,,,,
24,03/02/24 12:56:49 PM,32.613,,,,,
25,03/02/24 12:57:49 PM,32.355,,,,,
26,03/02/24 12:58:49 PM,32.330,,,,,
27,03/02/24 12:59:49 PM,32.150,,,,,
28,03/02/24 01:00:49 PM,30.596,,,,,
29,03/02/24 01:01:49 PM,29.515,,,,,
30,03/02/24 01:02:49 PM,29.265,,,,,
31,03/02/24 01:03:49 PM,29.215,,,,,
32,03/02/24 01:04:49 PM,28.891,,,,,
33,03/02/24 01:05:49 PM,29.315,,,,,
34,03/02/24 01:06:49 PM,30.066,,,,,
35,03/02/24 01:07:49 PM,30.117,,,,,
36,03/02/24 01:08:49 PM,29.840,,,,,
37,03/02/24 01:09:49 PM,29.315,,,,,
38,03/02/24 01:10:49 PM,28.493,,,,,
39,03/02/24 01:11:49 PM,28.320,,,,,
40,03/02/24 01:12:49 PM,28.419,,,,,
41,03/02/24 01:13:49 PM,28.717,,,,,
42,03/02/24 01:14:49 PM,29.490,,,,,
43,03/02/24 01:15:49 PM,29.790,,,,,
44,03/02/24 01:16:49 PM,29.215,,,,,
45,03/02/24 01:17:49 PM,28.295,,,,,
46,03/02/24 01:18:49 PM,28.023,,,,,
47,03/02/24 01:19:49 PM,27.924,,,,,
48,03/02/24 01:20:49 PM,27.974,,,,,
49,03/02/24 01:21:49 PM,28.023,,,,,
50,03/02/24 01:22:49 PM,28.048,,,,,
51,03/02/24 01:23:49 PM,27.974,,,,,
52,03/02/24 01:24:49 PM,28.048,,,,,
53,03/02/24 01:25:49 PM,28.147,,,,,
